id	emotion
34170_0002_A_12	0.05624408647418022,0.001101713627576828,-0.01838541217148304,-0.02728338912129402,0.0009023398160934448,-0.08388455957174301
34170_0002_A_14	0.03550710156559944,-0.031022876501083374,0.011634821072220802,0.01379796490073204,0.03449978679418564,0.012239910662174225
34170_0003_A_16	0.00962072890251875,0.02234410122036934,-0.02802024595439434,0.0396253876388073,-0.018372848629951477,-0.0871594026684761
34170_0003_A_17	0.06946759670972824,-0.02904459834098816,0.04133616387844086,0.1666172444820404,0.18025478720664978,0.5074349641799927
34170_0003_A_18	0.03542466089129448,0.017408862709999084,-0.022736744955182076,0.2550380825996399,-0.0026935338973999023,0.032924994826316833
34170_0003_A_20	0.002261104993522167,-0.03221690654754639,0.11895821988582611,0.04771485552191734,0.07739436626434326,1.653821587562561
34170_0003_A_21	0.02251410484313965,0.10041022300720215,0.06992246955633163,-0.016415882855653763,0.021400034427642822,-0.018154561519622803
34170_0004_A_24	0.06627612560987473,-0.058779120445251465,-0.030295951291918755,-0.03128057345747948,0.01763930916786194,-0.07528237253427505
34170_0004_A_25	0.6927332878112793,0.03225180134177208,0.00479842908680439,-0.024791833013296127,0.029897652566432953,0.17729362845420837
34170_0004_A_26	0.6099335551261902,0.04730731248855591,0.027893440797924995,-0.0959208607673645,0.06970606744289398,0.30202141404151917
34170_0004_A_27	0.02558768168091774,0.012272011488676071,-0.011946005746722221,-0.004787627607584,-0.014709621667861938,-0.05479995906352997
34170_0004_A_28	0.14993740618228912,-0.06970936059951782,-0.023351101204752922,0.03170659765601158,0.023349732160568237,0.018038447946310043
34170_0005_A_31	0.098770871758461,0.011227436363697052,0.006849320605397224,0.01072811707854271,-0.02741847187280655,-0.038609616458415985
34170_0005_A_33	0.04908616095781326,-0.04020170867443085,0.024279722943902016,0.04349115118384361,0.043522343039512634,-0.06205114722251892
34170_0005_A_35	0.04962655529379845,0.07690542936325073,0.011016832664608955,0.04588037356734276,-0.014466822147369385,-0.06400886923074722
34170_0004_A_29	0.16426491737365723,-0.061753660440444946,-0.027592195197939873,0.007688995450735092,0.20696574449539185,0.34494808316230774
34170_0005_A_34	0.21319840848445892,0.15812870860099792,0.008547017350792885,-0.01808955892920494,-0.02958834171295166,0.16714560985565186
