id	emotion
34170_0002_A_12	0.24411025643348694,0.16325952112674713,0.023685533553361893,0.05145326256752014,0.04902256280183792,0.22039282321929932
34170_0002_A_14	0.023804154247045517,0.02712031453847885,0.035898253321647644,0.08626143634319305,0.08810168504714966,0.1789080798625946
34170_0003_A_16	0.046435266733169556,0.054138123989105225,0.02410099282860756,0.054532818496227264,0.047380849719047546,0.15214335918426514
34170_0003_A_17	0.03503488376736641,0.0267484188079834,0.03221837803721428,0.08296962082386017,0.11049225926399231,0.3480307459831238
34170_0003_A_18	0.028016336262226105,0.024785922840237617,0.029345013201236725,0.09192551672458649,0.102208212018013,0.2314263880252838
34170_0003_A_20	0.07433494925498962,0.05217157304286957,0.07836554199457169,0.15342341363430023,0.30470210313796997,1.412936806678772
34170_0003_A_21	0.045343637466430664,0.05524611473083496,0.027687568217515945,0.05346431955695152,0.04588673263788223,0.171183243393898
34170_0004_A_24	0.08374063670635223,0.06503947824239731,0.025420211255550385,0.05570609122514725,0.04950682073831558,0.20117467641830444
34170_0004_A_25	1.4104418754577637,0.4730530083179474,0.051687054336071014,0.12055779993534088,0.08920956403017044,0.41294020414352417
34170_0004_A_26	1.2556955814361572,0.4230976700782776,0.047766655683517456,0.10804577171802521,0.08244785666465759,0.3853279650211334
34170_0004_A_27	0.031588464975357056,0.04399140179157257,0.03416086360812187,0.05867144837975502,0.05075677111744881,0.15695464611053467
34170_0004_A_28	0.03841026872396469,0.03413054719567299,0.023578815162181854,0.09077213704586029,0.06858984380960464,0.23997627198696136
34170_0005_A_31	0.06699338555335999,0.12050269544124603,0.03248484060168266,0.04950369894504547,0.037029433995485306,0.1807277798652649
34170_0005_A_33	0.030235253274440765,0.051942601799964905,0.0383492112159729,0.07500112056732178,0.05006258934736252,0.18995913863182068
34170_0005_A_35	0.02811635658144951,0.02807379513978958,0.23138831555843353,0.1289311647415161,0.24641501903533936,0.5045872926712036
34170_0004_A_29	0.05259920656681061,0.02562340721487999,0.028158044442534447,0.09968350827693939,0.13607153296470642,0.4315192997455597
34170_0005_A_34	0.42284488677978516,0.43145087361335754,0.03797334432601929,0.07801676541566849,0.04806239902973175,0.30756983160972595
34170_0005_A_36	0.1454191505908966,0.14278453588485718,0.021090948954224586,0.05417763814330101,0.04295358434319496,0.18644776940345764
34170_0005_A_32	0.055814020335674286,0.07370831817388535,0.021944893524050713,0.05269712582230568,0.04225911200046539,0.15757229924201965
34170_0007_A_42	0.038266152143478394,0.05117211863398552,0.0273146852850914,0.054367683827877045,0.04892798513174057,0.1689668595790863
34170_0007_A_43	0.024461643770337105,0.031014736741781235,0.04496786743402481,0.06231674179434776,0.07161688804626465,0.13880306482315063
34170_0007_A_44	0.03982961177825928,0.040078893303871155,0.08943893015384674,0.10872308909893036,0.14043226838111877,0.7642320394515991
34170_0007_A_45	0.022637613117694855,0.0304645337164402,0.09077699482440948,0.06563763320446014,0.08999596536159515,0.16212573647499084
34170_0007_A_46	0.20633462071418762,0.9103806018829346,0.06741037964820862,0.08866354823112488,0.047049425542354584,0.27917927503585815
34170_0007_A_47	0.03312881290912628,0.037177588790655136,0.027812562882900238,0.06330163776874542,0.06452301144599915,0.1473550796508789
