id	emotion
34170_0002_A_12	0.039940789341926575,0.02325824648141861,0.04160023480653763,0.02025330252945423,0.0365305170416832,0.09100304543972015
34170_0002_A_14	0.02711217850446701,0.016842301934957504,0.030544713139533997,0.033006928861141205,0.058124691247940063,0.05934067815542221
34170_0003_A_16	0.03171411529183388,0.020633086562156677,0.03969363868236542,0.025873631238937378,0.050640396773815155,0.05961809307336807
34170_0003_A_17	0.03335212171077728,0.01412290707230568,0.05030011385679245,0.0716848373413086,0.09591428935527802,0.20407803356647491
34170_0003_A_18	0.026902951300144196,0.019659776240587234,0.033768102526664734,0.30729997158050537,0.0966116338968277,0.2007775902748108
34170_0003_A_20	0.059033770114183426,0.026161780580878258,0.09159040451049805,0.07186495512723923,0.1323133111000061,1.081593632698059
34170_0003_A_21	0.036680661141872406,0.019179830327630043,0.04823914170265198,0.02011081576347351,0.052917204797267914,0.09601210802793503
34170_0004_A_24	0.06221703812479973,0.03683997690677643,0.029920261353254318,0.022125449031591415,0.036004140973091125,0.04166954755783081
34170_0004_A_25	0.23497962951660156,0.08707906305789948,0.03711431100964546,0.028330493718385696,0.04709149897098541,0.32143890857696533
34170_0004_A_26	0.224226713180542,0.06273472309112549,0.03796762973070145,0.026210546493530273,0.05928519368171692,0.317006379365921
34170_0004_A_27	0.039558496326208115,0.02847636491060257,0.030145971104502678,0.025526663288474083,0.0394936166703701,0.03833173215389252
34170_0004_A_28	0.04329085350036621,0.020155813544988632,0.026472460478544235,0.2120683193206787,0.07941795885562897,0.15106070041656494
34170_0005_A_31	0.12982672452926636,0.05852445960044861,0.04447462409734726,0.023918207734823227,0.044246405363082886,0.3659816384315491
34170_0005_A_33	0.02448534034192562,0.02130095660686493,0.08435647189617157,0.04184790700674057,0.054200515151023865,0.09611210972070694
34170_0005_A_35	0.023177960887551308,0.016942810267210007,0.07926281541585922,0.04259750619530678,0.10762333869934082,0.07263028621673584
34170_0004_A_29	0.05492006987333298,0.015145723707973957,0.03793201223015785,0.10749579966068268,0.13402855396270752,0.28818902373313904
34170_0005_A_34	0.2782997488975525,0.11463508754968643,0.043210193514823914,0.0671277642250061,0.045224063098430634,0.36563849449157715
34170_0005_A_36	0.031192313879728317,0.023907776921987534,0.03560756891965866,0.045051150023937225,0.038918670266866684,0.04454080015420914
34170_0005_A_32	0.04183674976229668,0.028114214539527893,0.03887820988893509,0.027737479656934738,0.05286441743373871,0.03446801006793976
34170_0007_A_42	0.03540407121181488,0.017721273005008698,0.04434729367494583,0.0175342820584774,0.08710555732250214,0.09528365731239319
34170_0007_A_43	0.03966309130191803,0.024009734392166138,0.030514493584632874,0.025660909712314606,0.04524635523557663,0.037850767374038696
34170_0007_A_44	0.03550352528691292,0.016132168471813202,0.0773375853896141,0.03484535962343216,0.07642880827188492,0.3094344139099121
34170_0007_A_45	0.043496403843164444,0.024041038006544113,0.034507088363170624,0.022922333329916,0.06281783431768417,0.04206866770982742
34170_0007_A_46	0.2518521249294281,1.0870023965835571,0.13203521072864532,0.05261506140232086,0.034377556294202805,0.16395986080169678
34170_0007_A_47	0.028935721144080162,0.02141677960753441,0.02321987971663475,0.050588250160217285,0.03849300742149353,0.08027461171150208
34170_0008_A_49	0.04987866431474686,0.026031700894236565,0.03000386245548725,0.017165441066026688,0.03838585689663887,0.09635398536920547
34170_0008_A_50	0.04509498178958893,0.023855820298194885,0.029673483222723007,0.023460477590560913,0.05501360446214676,0.04300796985626221
34170_0008_A_51	0.10998139530420303,0.2669282853603363,0.03378082066774368,0.02309759333729744,0.027921177446842194,0.06673219799995422
