id	emotion
34170_0002_A_12	-0.03576308861374855,0.01957029104232788,0.009344331920146942,-0.00970818754285574,0.11695418506860733,0.1636660099029541
34170_0002_A_14	-0.003503892570734024,0.004248484969139099,0.0163886658847332,0.0564698800444603,0.13539932668209076,0.15661299228668213
34170_0003_A_16	-0.04336096718907356,0.0634424239397049,-0.026092691347002983,0.09127561748027802,0.1304120421409607,0.13903850317001343
34170_0003_A_17	0.1727321743965149,0.06493766605854034,0.09410673379898071,0.11483190208673477,0.22546732425689697,1.0115878582000732
34170_0003_A_18	-0.03300217166543007,-0.04467811435461044,0.020645201206207275,0.17707477509975433,0.23065747320652008,0.6664943695068359
34170_0003_A_20	0.1146647185087204,-0.00037775933742523193,0.2839961647987366,0.013829187490046024,0.2197737693786621,1.335528016090393
34170_0003_A_21	-0.013879898935556412,-0.008365318179130554,0.041333574801683426,0.03202357143163681,0.12822555005550385,0.21216928958892822
34170_0004_A_24	0.0038551054894924164,0.008584395051002502,0.057488713413476944,0.005892136134207249,0.12966062128543854,0.17485208809375763
34170_0004_A_25	0.7184478640556335,0.4692828953266144,-0.021788964048027992,-0.10067654401063919,0.1404312700033188,0.306763619184494
34170_0004_A_26	0.4506450593471527,0.30562326312065125,-0.010845795273780823,-0.10497516393661499,0.15806426107883453,0.3952517509460449
34170_0004_A_27	-0.008335310965776443,0.010830458253622055,0.061712902039289474,0.009530843235552311,0.12918409705162048,0.10532282292842865
34170_0004_A_28	0.012158874422311783,-0.014842212200164795,0.03946095332503319,0.23060883581638336,0.20574842393398285,0.31526321172714233
34170_0005_A_31	0.1699804961681366,0.28814080357551575,0.02993135154247284,-0.03462620824575424,0.11391172558069229,0.2877173125743866
34170_0005_A_33	0.0029068998992443085,0.10253603011369705,0.04510387405753136,0.04098018258810043,0.09424746781587601,0.17714938521385193
34170_0005_A_35	-0.010906893759965897,-0.014330044388771057,0.051238734275102615,0.14136384427547455,0.09709281474351883,0.23975896835327148
34170_0004_A_29	0.07358576357364655,-0.0003454051911830902,0.04920540750026703,0.0188155360519886,0.267881840467453,0.7899883985519409
34170_0005_A_34	0.48592713475227356,0.3611914813518524,0.0014412032905966043,0.12043159455060959,0.15611301362514496,0.7973860502243042
34170_0005_A_36	-0.00176185742020607,0.10386479645967484,0.007250571623444557,0.1523699015378952,0.0948965847492218,0.1512422114610672
34170_0005_A_32	-0.03604600206017494,0.044900164008140564,-0.046702656894922256,0.013889857567846775,0.06707919389009476,0.09879937767982483
34170_0007_A_42	7.213279604911804e-05,0.06274759769439697,-0.006892332807183266,-0.039337899535894394,0.10963962227106094,0.5370537042617798
34170_0007_A_43	-0.05676646903157234,0.03392642363905907,-0.060107115656137466,-0.009626931510865688,0.14745070040225983,0.04197351634502411
34170_0007_A_44	0.23404709994792938,0.013017456978559494,0.09894166886806488,0.022886622697114944,0.14494499564170837,1.8167526721954346
34170_0007_A_45	-0.05323963239789009,0.049858734011650085,0.03639092668890953,0.01274771336466074,0.15960927307605743,0.11624304950237274
34170_0007_A_46	0.3560620844364166,0.7578603029251099,0.40007635951042175,-0.04652709513902664,0.13131366670131683,0.3650122880935669
34170_0007_A_47	-0.03036782518029213,0.013120170682668686,0.005058323964476585,0.12213890254497528,0.10834719240665436,0.3267565965652466
34170_0008_A_49	-0.023025695234537125,0.02421015128493309,-0.015065919607877731,4.260311834514141e-05,0.07764237374067307,0.10783897340297699
34170_0008_A_50	-0.04534435644745827,0.02164621278643608,-0.04017019271850586,-0.02244773507118225,0.13785983622074127,0.14390210807323456
34170_0008_A_51	0.029456134885549545,0.10657238960266113,-0.004957640543580055,0.017249971628189087,0.09975063800811768,0.12864889204502106
34170_0009_A_54	-0.03622591868042946,0.012717097997665405,-0.06281295418739319,-0.020275600254535675,0.10338529944419861,0.05215911567211151
34170_0009_A_56	-0.09599040448665619,0.008539259433746338,-0.04125804454088211,0.1779194474220276,0.12559399008750916,0.1250746250152588
34170_0009_A_58	-0.012206781655550003,-0.015580952167510986,0.0029504543635994196,0.02499830722808838,0.08809574693441391,0.1087711825966835
34170_0009_A_59	-0.06250929832458496,0.021086961030960083,0.02154914103448391,0.05582866072654724,0.11056192964315414,0.19160354137420654
34170_0009_A_60	-0.03757954016327858,0.04413397237658501,-0.0288810133934021,0.003901959164068103,0.14081455767154694,0.10559739172458649
34170_0009_A_61	-0.022994015365839005,0.01737845689058304,0.047940444201231,0.05895308405160904,0.11493469029664993,0.17755521833896637
34170_0009_A_62	-0.0402534194290638,0.028620678931474686,-0.018644127994775772,-0.02379528433084488,0.16053836047649384,0.10145734250545502
34170_0009_A_63	-0.0382843054831028,0.03628789260983467,-0.017654677852988243,-0.023736469447612762,0.16147102415561676,0.06536407768726349
34170_0009_A_64	-0.0016190148890018463,0.018901053816080093,0.04283690080046654,0.041887156665325165,0.09320271760225296,0.25186997652053833
34170_0010_A_66	-0.06722645461559296,0.045548126101493835,-0.04437119513750076,-0.01317704375833273,0.0676141306757927,0.05423158407211304
34170_0010_A_67	-0.03590666130185127,0.0658196210861206,-0.06067320704460144,-0.027755528688430786,0.0798480287194252,0.05869271606206894
34170_0011_A_71	-0.04392077401280403,0.01729549467563629,-0.052965883165597916,-0.03080613911151886,0.20290569961071014,-0.010140391997992992
34170_0011_A_74	-0.020314980298280716,0.07089842110872269,-0.011149626225233078,-0.04438066482543945,0.13713409006595612,0.12386209517717361
34170_0011_A_76	-0.027154792100191116,0.05459153652191162,-0.012309327721595764,0.009934389032423496,0.07897042483091354,0.07668320834636688
34170_0011_A_78	0.08240248262882233,0.04026256501674652,-0.004802722483873367,0.06331400573253632,0.1142658218741417,0.15686237812042236
34170_0011_A_80	0.08208617568016052,0.049284644424915314,0.006713833659887314,0.03277792036533356,0.16459490358829498,0.25466683506965637
34170_0011_A_81	-0.005610976368188858,0.027234289795160294,0.03988682106137276,0.02651810646057129,0.09828145056962967,0.11483120173215866
34170_0012_A_83	-0.033641744405031204,0.03322640061378479,-0.06956564635038376,-0.03677520900964737,0.09669012576341629,0.06086330860853195
34170_0012_A_84	-0.0261206217110157,0.06065819412469864,-0.04066893085837364,-0.03172688186168671,0.09625554829835892,0.05894327536225319
34170_0012_A_85	-0.028341952711343765,0.057563766837120056,-0.044220972806215286,-0.029135093092918396,0.10064435750246048,0.05615959316492081
