id	emotion
34170_0002_A_12	0.04387970268726349,0.023470530286431313,0.0211787112057209,0.007562526501715183,0.0379713773727417,0.10061541199684143
34170_0002_A_14	0.02992091327905655,0.01519516110420227,0.015584671869874,0.018123384565114975,0.036964356899261475,0.04903499782085419
34170_0003_A_16	0.028851382434368134,0.022389760240912437,0.022818483412265778,0.01605558581650257,0.029057176783680916,0.031821176409721375
34170_0003_A_17	0.05142489820718765,0.01676935888826847,0.04686909168958664,0.04528207331895828,0.10034701228141785,0.6303633451461792
34170_0003_A_18	0.07547719776630402,0.021754981949925423,0.022302750498056412,0.010240471921861172,0.057600513100624084,0.09746286273002625
34170_0003_A_20	0.056416720151901245,0.02224550023674965,0.06528040766716003,0.014746278524398804,0.14684408903121948,0.589347243309021
34170_0003_A_21	0.023467648774385452,0.022888951003551483,0.02333991229534149,0.01150473766028881,0.035973839461803436,0.04436261206865311
34170_0004_A_24	0.48740631341934204,0.11414753645658493,0.021725738421082497,0.007786884438246489,0.02984141930937767,0.05134075507521629
34170_0004_A_25	0.47428974509239197,0.0841759741306305,0.02158663608133793,0.008400210179388523,0.040979910641908646,0.30853429436683655
34170_0004_A_26	0.38075757026672363,0.08850806951522827,0.02314797043800354,0.011126585304737091,0.046357691287994385,0.454584538936615
34170_0004_A_27	0.05380385369062424,0.04453478753566742,0.021355289965867996,0.013349025510251522,0.0327540785074234,0.01958359032869339
34170_0004_A_28	0.13257482647895813,0.024689223617315292,0.02511368878185749,0.0900440514087677,0.10938610136508942,0.2562597393989563
34170_0005_A_31	0.06959111243486404,0.10689105093479156,0.06353689730167389,0.01286673080176115,0.021735135465860367,0.11585528403520584
34170_0005_A_33	0.021186623722314835,0.016568100079894066,0.029755888506770134,0.03687794506549835,0.05350720137357712,0.06176317483186722
34170_0005_A_35	0.049779683351516724,0.0288032665848732,0.02653086557984352,0.013765416108071804,0.04746577888727188,0.053043000400066376
34170_0004_A_29	0.1359362155199051,0.01904316246509552,0.048842206597328186,0.041625142097473145,0.22812435030937195,1.081365704536438
34170_0005_A_34	0.1959928572177887,0.2420552670955658,0.03554060310125351,0.07573160529136658,0.03637824207544327,0.29225262999534607
34170_0005_A_36	0.03968697786331177,0.03328779339790344,0.021313028410077095,0.024398624897003174,0.018278062343597412,0.01824212819337845
34170_0005_A_32	0.05097341537475586,0.03857485577464104,0.02613554149866104,0.01955738663673401,0.03012515977025032,0.015156803652644157
34170_0007_A_42	0.04554794728755951,0.028283681720495224,0.02060241997241974,0.009756263345479965,0.04842989146709442,0.1636132299900055
34170_0007_A_43	0.020184064283967018,0.013414736837148666,0.029851872473955154,0.016956832259893417,0.07872168719768524,0.06421646475791931
34170_0007_A_44	0.048016373068094254,0.024102889001369476,0.09324155747890472,0.02519034594297409,0.1285325139760971,1.3797698020935059
34170_0007_A_45	0.02048880234360695,0.018406052142381668,0.1992042511701584,0.01451815664768219,0.1386532485485077,0.0447169691324234
34170_0007_A_46	0.181492418050766,1.933953046798706,0.08881853520870209,0.05425571650266647,0.02479647472500801,0.06558234989643097
34170_0007_A_47	0.029441367834806442,0.016556045040488243,0.014907388016581535,0.021913036704063416,0.04374288022518158,0.033624015748500824
34170_0008_A_49	0.047598786652088165,0.04347943514585495,0.025513343513011932,0.011898455210030079,0.02449060045182705,0.030944213271141052
34170_0008_A_50	0.03721203655004501,0.02484280988574028,0.02094176597893238,0.010847615078091621,0.020301487296819687,0.028221528977155685
34170_0008_A_51	0.09340619295835495,0.1527801752090454,0.020251009613275528,0.007908044382929802,0.020994387567043304,0.044599615037441254
34170_0009_A_54	0.03986361622810364,0.03069157525897026,0.028223440051078796,0.01295007485896349,0.023659225553274155,0.01916123367846012
34170_0009_A_56	0.027814462780952454,0.011769194155931473,0.023018579930067062,0.29065120220184326,0.37535548210144043,0.13791818916797638
34170_0009_A_58	0.03776273876428604,0.018845826387405396,0.019048266112804413,0.01268832292407751,0.0322021022439003,0.03512272238731384
34170_0009_A_59	0.021014906466007233,0.017031308263540268,0.020630648359656334,0.025015078485012054,0.03538663685321808,0.031985603272914886
34170_0009_A_60	0.041049860417842865,0.04208699241280556,0.027091939002275467,0.013795345090329647,0.042464762926101685,0.0179945956915617
34170_0009_A_61	0.0776565745472908,0.1681760996580124,0.01703888177871704,0.014040165580809116,0.046982116997241974,0.137611985206604
34170_0009_A_62	0.05652458220720291,0.05757388100028038,0.02096300944685936,0.012611454352736473,0.03124108724296093,0.018250148743391037
34170_0009_A_63	0.07343260943889618,0.07411918044090271,0.0204527098685503,0.011712091974914074,0.03505009412765503,0.018967773765325546
34170_0009_A_64	0.06057131290435791,0.01964111067354679,0.015139887109398842,0.008063944056630135,0.042200975120067596,0.1522526741027832
34170_0010_A_66	0.13301227986812592,0.1017751544713974,0.025911279022693634,0.0170332919806242,0.017886091023683548,0.018370838835835457
34170_0010_A_67	0.026066292077302933,0.022865526378154755,0.033266544342041016,0.017267704010009766,0.025394555181264877,0.021510377526283264
34170_0011_A_71	0.09644734114408493,0.09397324174642563,0.06961758434772491,0.025636587291955948,0.9796288013458252,0.029431752860546112
34170_0011_A_74	0.027970749884843826,0.013014016672968864,0.02222147211432457,0.010476130992174149,0.04646956920623779,0.05828719586133957
34170_0011_A_76	0.057754695415496826,0.03144266456365585,0.04002873972058296,0.01054384559392929,0.1220906674861908,0.03523442894220352
34170_0011_A_78	0.11182259023189545,0.028072964400053024,0.016477223485708237,0.01786637119948864,0.03290138393640518,0.04072210192680359
34170_0011_A_80	0.12261249125003815,0.02673967182636261,0.020631860941648483,0.012916199862957,0.048591576516628265,0.22367890179157257
34170_0011_A_81	0.030206289142370224,0.035630203783512115,0.025922946631908417,0.009002601727843285,0.04908989369869232,0.03333794325590134
34170_0012_A_83	0.027934473007917404,0.019609350711107254,0.02283244952559471,0.015118432231247425,0.03851202875375748,0.03040449135005474
34170_0012_A_84	0.07031455636024475,0.05231695994734764,0.0312710665166378,0.01721896044909954,0.02083987556397915,0.014548652805387974
34170_0012_A_85	0.07222919911146164,0.05481884256005287,0.031945373862981796,0.01804063655436039,0.02013583853840828,0.014395518228411674
34170_0012_A_86	0.07803964614868164,0.06291554123163223,0.032303765416145325,0.018122663721442223,0.01997225172817707,0.014471023343503475
34170_0012_A_87	0.07385345548391342,0.056466031819581985,0.03163585811853409,0.01809914968907833,0.01991197094321251,0.014636293053627014
34170_0012_A_88	0.07980188727378845,0.0600232258439064,0.030664078891277313,0.01662604883313179,0.02000717632472515,0.015153453685343266
34170_0012_A_89	0.07605746388435364,0.056593120098114014,0.031208790838718414,0.01735852099955082,0.02022639662027359,0.01505630649626255
34170_0012_A_90	0.04309230297803879,0.039333175867795944,0.021972084417939186,0.020208999514579773,0.0170133113861084,0.016687404364347458
34170_0012_A_92	0.040728189051151276,0.023734986782073975,0.018156465142965317,0.010818896815180779,0.026116078719496727,0.031780801713466644
34170_0012_A_94	0.016271010041236877,0.018522119149565697,0.01857345551252365,0.029682744294404984,0.040369242429733276,0.09717096388339996
34170_0012_A_96	0.06040866672992706,0.05879983678460121,0.013041475787758827,0.010716141201555729,0.01812255010008812,0.030173713341355324
34170_0012_A_98	0.03042561188340187,0.03590034320950508,0.038589175790548325,0.01688040792942047,0.02252534031867981,0.019876297563314438
